Artikelnummer;Artikelbez. D.;Artikelbez. E.;Bestellnr.;Artikelkat.Code;Produktgrp.Code;Status;Artikel-Land;Preiseinheit;Mengeneinheit;Anzahl VE;WaehrungsKZ;HEK-Monacor;UVP-Monacor;HEK-Monacor-Aen.;UVP-Monacor-Aen.;Brand-Bezeichnung;EAN-Code;Katalogseite;Katalogseite Neu;Gewicht per;Brutto-Gewicht;Netto-Gewicht;Zollcode;Analogartikel;Anz.Umverpackung;Anz.Exportkarton;EuroKZ;
ACC-252/WS;Antennenkabel;Antenna Cable;0150470;4;1;STANDARD;CN;0;STUECK;1;;0,65;0,99;0;0;ORG.MAKERS BRAND;4040849115110;C121;;1;0,072;0,071;85442000900;;60;120;Nein;
ACCU-CASE;Akku-Transportbox;Battery Case;0030700;3;16;STANDARD;CN;0;STUECK;1;USD;0,9;3,29;0;0;MONACOR;4007754205084;C168;;1;0,02;0,013;39231090900;;25;100;Nein;
ACE;Mixer;Mixer;0202940;1;5;AKTIONSARTIKEL;NL;0;STUECK;1;;540;1.129;0;0;ORG.MAKERS BRAND;4007754254501;;;1;7;6;85437090990;;0;0;Nein;
ACF-152/WS;F-Verbindungskabel;F-Connection Cable;0150500;4;1;STANDARD;CN;0;STUECK;1;;1,4;2,19;0;0;ORG.MAKERS BRAND;4040849507373;C121;;1;0,053;0,052;85442000900;;10;160;Nein;
ACF-252/WS;F-Verbindungskabel;F-Connection Cable;0150510;4;1;STANDARD;CN;0;STUECK;1;;1,75;2,79;0;0;ORG.MAKERS BRAND;4040849507380;C121;;1;0,121;0,113;85442000900;;60;120;Nein;
ACF-502/WS;F-Verbindungskabel;F-Connection Cable;0150520;4;1;STANDARD;CN;0;STUECK;1;;2,6;4,29;0;0;ORG.MAKERS BRAND;4040849507397;C121;;1;0,153;0,15;85442000900;;30;60;Nein;
ACM-235;Verbindungskabel;Connection Cord;0064690;4;1;STANDARD;CN;0;STUECK;1;USD;2,2;3,49;0;0;MONACOR;4007754115185;C113;;1;0,053;0,045;85444290900;ACS-235;50;200;Nein;
ACM-2635;Audio-Verbindungskabel;Audio Connection Cable;0066650;4;1;STANDARD;CN;0;STUECK;1;USD;2,8;4,49;0;0;MONACOR;4007754183153;C113;;1;0,055;0,048;85444290900;;50;200;Nein;
ACP-150/50;Audiokabel;Audio Cable;0067290;4;1;STANDARD;CN;0;STUECK;1;USD;8,9;13,99;0;0;MONACOR;4007754202588;C115;;1;0,311;0,193;85444290900;;5;10;Nein;
ACP-2/J;Antennen-Kupplung;Antenna Jack;0150380;4;5;STANDARD;CN;0;STUECK;1;;0,3;0,89;0;0;ORG.MAKERS BRAND;4007754064018;C153;;1;0,014;0,01;85366910000;;10;1.600;Nein;
ACP-2/P;Antennen-Stecker;Antenna Plug;0150390;4;5;STANDARD;CN;0;STUECK;1;;0,3;0,89;0;0;ORG.MAKERS BRAND;4040849115042;C153;;1;0,007;0,007;85366910000;;10;1.600;Nein;
ACP-300/50;Audiokabel;Audio Cable;0067300;4;1;STANDARD;CN;0;STUECK;1;USD;10,3;16,49;0;0;MONACOR;4007754202595;C115;;1;0,432;0,308;85444290900;;5;10;Nein;
ACP-500/50;Audiokabel;Audio Cable;0067310;4;1;STANDARD;CN;0;STUECK;1;USD;12,5;19,9;0;0;MONACOR;4007754202601;C115;;1;0,599;0,476;85444290900;;5;10;Nein;
ACS-225;Audio-Verbindungskabel;Audio Connection Cable;0066620;4;1;STANDARD;CN;0;STUECK;1;USD;2,75;4,49;0;0;MONACOR;4007754183122;C113;;1;0,048;0,041;85444290900;;50;200;Nein;
ACS-235;Verbindungskabel;Connection Cord;0064700;4;1;STANDARD;CN;0;STUECK;1;USD;2,6;4,29;0;0;MONACOR;4007754115192;C113;;1;0,054;0,047;85444290900;;50;200;Nein;
ACS-2625;Audio-Verbindungskabel;Audio Connection Cable;0066640;4;1;STANDARD;CN;0;STUECK;1;USD;3,4;5,49;0;0;MONACOR;4007754183146;C113;;1;0,056;0,05;85444290900;;50;200;Nein;
ACS-2635;Audio-Verbindungskabel;Audio Connection Cable;0066660;4;1;STANDARD;CN;0;STUECK;1;USD;3,5;5,79;0;0;MONACOR;4007754183160;C113;;1;0,056;0,049;85444290900;;50;200;Nein;
AD-200A;Audio Converter;Audio Converter;0069170;4;6;STANDARD;CN;0;STUECK;1;;15,9;19,9;0;0;ORG.MAKERS BRAND;4040849589652;C121;;1;0,314;0,14;85437090990;;1;50;Nein;
AD-200D;Audio Converter;Audio Converter;0069180;4;6;STANDARD;CN;0;STUECK;1;;23,5;29,9;0;0;ORG.MAKERS BRAND;4040849589669;C121;;1;0,322;0,141;85437090990;;8;16;Nein;
AD-850;CD-Rekorder;CD Recorder;0210350;8;16;NEUHEIT;CN;0;STUECK;1;;305;449;0;0;TEAC;4907034221462;E138;;1;6,99;5,35;85198135900;;1;1;Nein;
ADC-05;Durchschleifkabel;DC Supply Cable;0080080;4;1;STANDARD;CN;0;STUECK;1;USD;6,9;10,99;0;0;MONACOR;4007754000504;C158;;1;0,056;0,054;85444290900;;1;400;Nein;
ADC-120VDE;Universal Netzkabel;AC Connection Cord;0050200;4;1;STANDARD;CN;0;STUECK;1;;1,4;2,19;0;0;MONACOR;4007754037418;C131;;1;0,068;0,068;85444290900;;10;250;Nein;
ADP-AES3-2X2;Dante Adapter;Dante Adaptor;0259640;1;5;NEUHEIT;CN;0;STUECK;1;USD;129;169;0;0;ORG.MAKERS BRAND;9353345000060;WWW;;1;0,2;0,17;85176200000;;1;12;Nein;
ADP-DAI-1X0;Dante Adapter;Dante Adaptor;0259650;1;5;NEUHEIT;CN;0;STUECK;1;USD;99;129;0;0;ORG.MAKERS BRAND;9353345000015;WWW;;1;0,15;0,12;85176200000;;1;12;Nein;
